"Call Tree - Method";"Time [%]";"Time";"Invocations";
"           Utils.System_Log.crear_directorio(String)";"0.0050946404";"272";"1"
"          Utils.System_Log.log_normal(String)";"0.02468653";"1318";"1"
"          Utils.ArrayLista.<init>()";"5.6190886E-5";"3";"1"
"          Interfaz.Interface_Keeper.get_Interfaz()";"3.746059E-5";"2";"1"
"         Self time";"0.05133974";"2741";"1"
"         Utils.ArrayLista.buscar(Object)";"1.3111207E-4";"7";"1"
"          Self time";"9.365148E-5";"5";"1"
"          Sistema.Tipos.Punto.equals(Object)";"3.746059E-5";"2";"1"
"         Sistema.Tipos.Punto.<init>(long, float, float)";"3.746059E-5";"2";"1"
"        Interfaz.IU.informar(String)";"1.9553305";"104394";"1"
"        Self time";"0.0012549298";"67";"1"
"       Self time";"3.4939868";"186542";"1"
"       Interfaz.Swing.Nucleo_Keeper.get_Nucleo()";"3.746059E-5";"2";"1"
"      Self time";"2.2476354E-4";"12";"1"
"     Self time";"7.304815E-4";"39";"1"
"    Interfaz.Swing.Carga_de_Archivo$2.actionPerformed(java.awt.event.ActionEvent)";"8.217711";"438739";"2"
"     Self time";"4.642585";"247865";"2"
"     Sistema.Sistema.crear_ciudad(String)";"3.2201874";"171924";"2"
"      Sistema.Tipos.Ciudad.<init>(String)";"3.1637156";"168909";"2"
"       Utils.Admin_Ciudad.Crear_Ciudad(Utils.ArrayLista, Utils.ArrayLista, String)";"2.9977088";"160046";"2"
"        Utils.Punto_Stream.leer_puntos()";"1.3527395";"72222";"2"
"         Utils.Map_Log.log_normal(String)";"1.1450579";"61134";"4"
"         Utils.Punto_Stream.existe_coord(Utils.ArrayLista, float, float)";"0.06692335";"3573";"50"
"          Self time";"0.05079656";"2712";"50"
"          Sistema.Tipos.Punto.equal_pos(float, float)";"0.016108055";"860";"600"
"         Utils.Punto_Stream.toPunto(String)";"0.05830741";"3113";"50"
"          Self time";"0.05630327";"3006";"50"
"          Sistema.Tipos.Punto.<init>(long, float, float)";"0.001966681";"105";"50"
"         Utils.ArrayLista.add(Object)";"0.04489652";"2397";"50"
"          Self time";"0.029331643";"1566";"50"
"          Sistema.Tipos.Punto.equals(Object)";"0.015564876";"831";"600"
"         Utils.Input_Stream.read()";"0.02346906";"1253";"52"
"         Self time";"0.013167398";"703";"2"
"         Utils.Input_Stream.filename()";"6.5556035E-4";"35";"4"
